m,p
5.5, 6.539997474732744
3.5, 4.119587202219491
5.5, 6.996712709586626
1.0, 0.9394264415146968
2.0, 0.41642701754973177
4.0, 5.790195322037063
3.5, 3.3972025416435074
4.0, 3.245419340716341
5.0, 3.6138912279887214
2.0, 2.5758574745622735
4.5, 5.1625360736626575
4.0, 2.652959984023407
2.5, 2.7555943769460023
4.5, 6.499600913183623
1.0, 1.6493839616113166
3.0, 4.012566959452311
2.5, 2.5421248285448463
3.5, 3.314558553321087
1.5, 0.014447155743803952
4.5, 5.0835909687351695
1.0, 1.3345642993668163
3.5, 0.46320730710392954
3.5, 3.3995478365976743
4.0, 1.1450434105584075
3.5, 1.932466275092745
2.5, 3.0347237530094824
5.5, 4.210962288182986
5.5, 4.506299591041294
2.0, 2.0786690856889747
1.0, 2.759017362810659
2.5, 3.146298570177435
2.0, 0.7748872069907766
1.0, -0.28705881566702773
5.5, 5.4333795602194455
3.5, 6.198015030651275
1.5, 0.41892765753917405
2.5, 1.4241041906227074
3.5, 3.047620959888751
4.5, 4.312728978239562
3.0, 1.9462035147859584
1.5, 1.7408005224599492
4.5, 4.009369413381755
2.0, 1.8738960136030731
1.0, 1.3074365565915698
5.5, 4.939099516309499
5.0, 4.960373112954026
4.0, 4.6763985623223245
3.0, 3.2076146376645966
4.0, 4.333586980221379
1.5, -0.3976736586473637
4.0, 2.2711830918577967
2.0, 1.8327975112239923
5.5, 6.035558233223607
4.0, 4.986309604269919
3.0, 3.265364070850632
1.5, 3.4828972655789645
2.5, 2.5771897836703435
2.5, 0.1274743917037089
2.5, 3.6535650448484662
5.5, 6.274670752508142
5.0, 4.84956113314695
1.0, 1.2367544466121851
1.0, 1.9893172530755479
3.5, 2.5521626493641034
4.5, 4.118288728426651
2.0, 0.856913917490139
3.0, 3.528778267211304
2.0, 2.477880584459404
3.5, 2.318328954212011
5.5, 7.220375370438987
1.0, 1.8040953501773789
4.5, 3.935899752718324
4.0, 4.336234688424166
1.0, 1.4019201611113663
4.0, 4.681147105138367
1.5, 2.6405649829464464
4.0, 3.4885467066416607
1.0, 1.6029589002951494
5.5, 7.773757172682889
4.0, 3.821826362219082
1.5, 2.076189217323771
2.0, 2.368309554527226
2.5, 1.6765433511906918
5.5, 5.817434266821589
4.5, 4.5837822774312
2.0, 2.9051774025182855
3.0, 3.139000192999137
4.5, 6.1097991399489
2.5, 2.5562031213980023
5.0, 6.109993604439527
3.0, 4.6812340226139915
2.5, 2.4931054253589284
1.5, 1.1329294322266166
5.5, 5.880794206183569
5.5, 5.697102507364868
5.5, 4.306771669263557
1.5, 1.8203985291253173
5.0, 4.7107203520306795
1.0, -0.32567788541403764
5.0, 5.687153685847113
3.5, 3.7645215377912598
2.0, 2.047787741552349
2.0, 1.5372649235083558
3.5, 4.2517379129847805
2.0, 1.7449339856300539
5.5, 4.591834267545905
5.5, 4.049257724747402
4.5, 3.9546774952401287
1.5, 0.14685575024787378
2.0, 1.6665728341353827
4.0, 3.2914370240592854
4.0, 4.001576763229826
5.0, 4.3868608729762695
5.0, 4.357197004695356
3.0, 2.930972013539728
4.0, 4.255631678261915
3.5, 3.3770747399868775
5.5, 5.879772657868759
2.5, 2.9722685737134737
4.0, 4.3670523565613735
5.0, 4.845795654376871
2.5, 2.187126240524974
3.0, 2.846870182495917
2.0, 3.279820207592886
3.0, 1.977033536529317
3.0, 4.4880196979960685
2.0, -0.05122475677935201
3.0, 2.6134553307491375
3.5, 4.606435356498514
3.5, 3.959304093852596
3.0, 2.7365413046151925
5.0, 4.258842475786422
5.0, 6.080719306535252
2.0, 2.04927782773499
4.5, 4.4004669879160545
2.0, 3.128429599196853
1.5, 2.24788248438367
5.5, 5.025345841931744
2.5, 1.8905768731755321
5.5, 6.923557621552317
4.5, 5.495770359079652
3.0, 4.0787306603865385
3.5, 2.8332417365827096
2.0, 0.9083245225413015
