m,p
1.0, -0.0932860437127434
2.0, 1.7462505480388941
2.0, 1.930821182563087
3.0, 2.1729177855907986
3.0, 3.041748979639646
1.0, 0.624365334480685
1.0, 2.9518893412236435
1.0, 2.540665853892347
1.0, -0.02806248780965226
2.0, 3.7681753769961484
3.0, 3.5152994684962056
1.0, 0.4577313753064228
3.0, 2.439050706366925
1.0, 0.5013509942125349
3.0, 2.671440299863381
2.0, 1.95867710540465
1.0, 0.340803692728296
3.0, 4.476528639856892
1.0, 1.5983172630278784
1.0, 1.5582353749841023
3.0, 2.6447148669091947
3.0, 4.320991627707803
1.0, 0.7622976652654316
2.0, 0.48174637578600277
3.0, 3.0154436326728193
3.0, 2.831566524403638
1.0, 1.8493799720129505
3.0, 2.711205938186114
3.0, 2.774104456162817
1.0, -1.2612823370657988
1.0, 2.1749256653919082
2.0, 1.1880202348588957
3.0, 1.145099994741457
3.0, 1.518068966400452
3.0, 2.2700910079321774
2.0, 1.4971224585840324
2.0, 2.1550347229270495
2.0, 2.9768112431301104
1.0, 1.642388685783975
2.0, 2.7204636308909276
2.0, 2.2916637180333317
2.0, 2.3057177098944805
2.0, 2.0915643945160607
2.0, 0.956563488927245
1.0, 1.5567678008381398
1.0, 0.7269004850678311
1.0, 0.041969268696954054
1.0, -0.4847052673307528
1.0, 0.8475955038946587
3.0, 3.0986331363035293
3.0, 2.0903692046848
2.0, 0.3825817067766657
2.0, 3.1577013811671852
2.0, 1.9980470040527816
3.0, 4.187552013659909
3.0, 2.665886483064994
2.0, 2.3838091659566314
2.0, 0.8299100605734651
3.0, 1.9360319387039377
1.0, 1.9607208137686545
3.0, 1.9115674275733245
1.0, -0.4807528481682686
2.0, 1.4872800058996027
2.0, 1.3533842307823316
2.0, 1.0097317548444609
2.0, 2.226814580354491
2.0, 0.23063548900657715
3.0, 4.6051789569797625
2.0, 2.699741616985711
2.0, 2.9064064844789437
1.0, 0.9382524127111779
2.0, 1.4282368200865272
2.0, 2.1089792059615244
1.0, -0.5405460176199341
1.0, 2.439326266115021
1.0, 1.7231027855169745
2.0, 1.0199876914284698
1.0, 0.6053808238528171
3.0, 3.432945616111444
3.0, 2.6480685486108473
3.0, 1.8446408971806552
3.0, 2.414288925963662
1.0, 0.33647859733785945
1.0, 1.7700569265981636
2.0, 3.789836595466343
3.0, 4.073685753476353
3.0, 1.8278854087953955
1.0, 0.7253914722321779
3.0, 2.9620188459362766
1.0, -0.48905721407951863
3.0, 2.6162111824942125
2.0, 0.6486229158842518
1.0, 2.0393847353168963
2.0, 0.655646801728768
2.0, 3.8533942366035223
2.0, 1.8092652555965985
3.0, 3.8963834404905455
1.0, 1.9017022063874678
1.0, 2.0358159040542407
2.0, 0.7708768974045743
3.0, 3.7527893213201073
1.0, 2.3855701398973332
2.0, 1.1143927780434701
3.0, 3.659343092644196
2.0, 2.7081750265336715
1.0, 2.401560646339974
2.0, 1.3474683956536038
1.0, -0.13531259116024685
1.0, 3.609493829527422
2.0, 0.7724309410326502
