m,p
4.75, 4.814288341052835
4.75, 5.791476954749142
2.25, 4.143853655503838
4.75, 5.62363638064179
1.0, 0.2820038601783251
2.25, 4.643281685376934
2.25, 3.282237914770571
1.0, 3.3944371449220934
6.0, 6.667780723504865
4.75, 4.995050208096843
4.75, 3.995822370980909
2.25, 3.7150917419760994
1.0, 0.7355180953462186
4.75, 5.492985129471396
4.75, 3.8825828512369553
3.5, 3.8248391320159114
1.0, 3.5129674787754417
3.5, 0.2680237609374112
1.0, 1.9798987313077396
2.25, -1.312426048830245
4.75, 3.9887754974836023
4.75, 6.193996390607869
6.0, 3.927612510185278
6.0, 5.674290910627013
1.0, -0.9026110422908067
2.25, 3.329036300538201
1.0, -1.0992450827495572
1.0, 3.4621481434271946
3.5, 3.091288266755476
2.25, -1.1233808678631836
4.75, 7.455779218402727
4.75, 3.6465936862595836
1.0, 2.507204536338972
6.0, 6.381566287345032
2.25, 2.140570150192274
3.5, 3.200029158116068
3.5, 5.75444396676502
4.75, 1.384814607693988
6.0, 6.178891867982628
1.0, -0.9595926664919818
6.0, 4.95883988730195
6.0, 5.241916642375359
2.25, -2.2824241302100825
4.75, 4.498102070946471
1.0, -2.8414244091719327
6.0, 5.765682236359661
2.25, 3.8703156292819028
1.0, -0.7040219355222219
2.25, 2.5768678217488743
2.25, 4.388492191429865
3.5, 2.091599941142702
2.25, 3.147223118742831
3.5, 7.580414163438917
4.75, 4.956864192876609
3.5, 3.3068293894809697
3.5, 4.424697323212627
2.25, 4.205485513433038
4.75, 5.54588498896193
2.25, 4.355393230719819
1.0, 1.1929455162924854
2.25, 1.9272977520894865
2.25, 1.8324268476355028
6.0, 7.663362785974541
4.75, 4.831969929340452
4.75, 5.811270575476568
2.25, 5.202618402804554
2.25, 0.2123776085200344
3.5, -0.23567585557592885
4.75, 4.498300240552812
6.0, 3.291753591181368
3.5, 1.0853982014684127
4.75, 4.0787775866731835
2.25, 1.3844434507193717
4.75, 7.816629864858417
1.0, -0.25789788391617785
6.0, 5.081845619903048
2.25, 0.6615174676850424
3.5, 1.8664640515947128
2.25, 1.769646450048425
4.75, 9.036873659335555
2.25, 1.4205049077945295
4.75, 4.08041208646859
4.75, 5.750579358018586
1.0, 1.8839097411965953
6.0, 6.774456618146906
2.25, 5.1864283868830245
6.0, 5.050371714507776
2.25, 2.1480478255115933
2.25, -3.5894924245052824
3.5, 7.0016220503885815
3.5, 5.7823728872514994
4.75, 3.5041254331481464
4.75, 4.701038549613744
3.5, 7.654756424272694
3.5, 2.179270174155053
1.0, 1.4289359133266872
6.0, 5.800609332033111
6.0, 6.616005083875294
6.0, 4.591954515560481
2.25, 2.5473264910128988
3.5, 4.842355759691658
3.5, 1.3726581333829642
3.5, 0.6351803501005113
4.75, 4.577187588745267
3.5, 5.587839334588582
1.0, 3.2032820382137452
4.75, 3.9118921032445577
4.75, 2.869582746623514
1.0, 4.132802362207197
4.75, 5.227580730426257
3.5, 2.822207384126579
3.5, 7.106751005254562
3.5, 2.283453649470953
4.75, 3.2481952338993274
1.0, 3.4598548183571642
4.75, 3.475255746605902
4.75, 3.372103887370301
1.0, 0.4958298708183724
6.0, 5.770421277411475
6.0, 5.658259595635747
2.25, 2.142413906441647
4.75, 3.9072019882509608
6.0, 7.485551142373869
3.5, 5.189576942402205
6.0, 6.418586590309414
4.75, 4.766421523272831
2.25, 3.2729223354954664
1.0, 1.912436970550293
4.75, 0.733059639963562
6.0, 5.904780312217974
4.75, 2.244039183310654
1.0, 1.5395231598688888
3.5, 1.886985607915515
4.75, 5.176830873858941
4.75, 3.539178551654879
1.0, 2.5738144420022993
2.25, -0.44281540523277707
3.5, 2.6906549672703193
4.75, 3.318424397909138
1.0, 2.174232306741927
2.25, 2.0107962390470595
6.0, 7.4785596855828755
6.0, 5.350874089808209
4.75, 4.519057904812953
2.25, 2.7543454514810635
3.5, 1.6378153915166493
1.0, 4.969903025320509
2.25, 0.20046583942992857
4.75, 5.705312360432432
6.0, 5.425970975172084
1.0, 0.6107261397006866
6.0, 5.325289177447936
4.75, 6.34494072628078
3.5, 2.463163339458416
6.0, 6.8429327122940355
2.25, 5.459235839247996
1.0, 0.5437632684457478
3.5, 5.668407261347491
4.75, 3.864075910617201
2.25, 2.898928642724524
2.25, 4.7405069244378275
4.75, 5.784345057501308
4.75, 4.944415184630566
2.25, 3.17893966536061
3.5, 3.5613396448958237
6.0, 7.244648295677599
4.75, 4.755792110848243
6.0, 6.547984478740889
2.25, 4.038659991153942
6.0, 3.84426932948374
6.0, 6.263981654728567
1.0, 1.4716036017093148
4.75, 1.6935264197428812
4.75, 5.666597630962761
2.25, 4.30022181072953
6.0, 6.074276358744587
1.0, 0.5123071038390814
3.5, 2.7041624330727396
6.0, 7.167034742404908
3.5, 3.3036401289341413
4.75, 7.3964187262269565
6.0, 5.873181629585603
4.75, 4.513260852225042
4.75, 2.9574729211160826
1.0, 1.2511318847102244
1.0, -1.3815245334216262
6.0, 5.719368109052916
3.5, 2.7018529697672644
2.25, 3.4322273029398755
3.5, 2.1977058809789343
6.0, 6.254428240344155
3.5, 4.883274891507842
6.0, 6.032838631484774
4.75, 4.683205989447289
4.75, 4.356176205740818
2.25, 1.7030643775616268
3.5, 5.815594238059004
2.25, -0.33591935071840284
4.75, 4.528903812269569
3.5, -0.06011213697550888
3.5, 1.2205749523951317
3.5, 4.847232859389311
3.5, 4.259812307508919
4.75, 5.816544162482147
2.25, 3.3469661993960456
1.0, -0.19876748213498674
4.75, 2.816020732214561
3.5, 4.406438049020302
1.0, 1.6168880153569152
3.5, 1.220404449579486
6.0, 6.0109351235461315
4.75, 5.7416058963268535
1.0, 0.006958435489607728
3.5, 7.445653004675252
2.25, 3.18640946350685
2.25, -0.27585000323559017
3.5, -1.0375295223118366
1.0, -3.913418554842349
1.0, 2.7555659576298064
3.5, 3.4340883126642208
2.25, 2.7913818355886364
2.25, 1.210261585185638
3.5, 3.487630699412176
4.75, 4.661479159415346
2.25, 2.25147932239277
1.0, 1.3096160086823154
6.0, 6.712993419693788
2.25, 3.740314564475205
4.75, 5.728145924915062
3.5, 4.291582879978541
2.25, 2.6670897275262373
6.0, 6.475860876627332
2.25, 3.7488856388703784
1.0, 4.824829715729899
4.75, 5.053736997973545
3.5, 0.8423264641125656
6.0, 5.841601269290597
6.0, 6.89750870834822
2.25, 0.7939508547925085
2.25, 1.4273840544329452
3.5, 5.608170165292423
1.0, 2.8801534039323418
4.75, 4.029532445172414
1.0, -0.24450072721945215
1.0, 0.36375548667732716
3.5, 3.0733150831133265
3.5, 2.832948216232014
6.0, 5.696601537447289
